Word,Word_Length,Num_Syllables,Part_of_Speech,Etymology1,Etymology2,Etymology3,Etymology4,Etymology5,Etymology6,Etymology7,1996 Round,1996 Error,1997 Round,1997 Error,1998 Round,1998 Error,1999 Round,1999 Error,2000 Round,2000 Error,2001 Round,2001 Error,2002 Round,2002 Error,2003 Round,2003 Error,2004 Round,2004 Error,2005 Round,2005 Error,2006 Round,2006 Error,2007 Round,2007 Error,2008 Round,2008 Error,2009 Round,2009 Error,2010 Round,2010 Error,2011 Round,2011 Error,2012 Round,2012 Error,2013 Round,2013 Error,2014 Round,2014 Error,2015 Round,2015 Error,2016 Round,2016 Error,2017 Round,2017 Error
bobbejaan,9,3,noun,Afrikaans  ,Dutch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,3,0,2,0,2,0,,,,,,
galjoen,7,2,noun,Afrikaans  , Dutch  ,Middle Dutch,Middle French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,1,3,0,2,0,2,0,,,,,,
jong,4,1,noun,Afrikaans  , Middle Dutch  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,
leegte,6,2,noun,Afrikaans  ,Middle Dutch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,
muishond,8,2,noun,Afrikaans  , Dutch  ,Middle Dutch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,0,3,0,2,0,2,1,,,,,,
roodebok,8,3,noun,Afrikaans  ,Middle Dutch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,3,1,2,0,2,0,2,0,,,,
springbok,9,2,noun,Afrikaans  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,
uitlander,9,3,noun,Afrikaans  , Middle Dutch  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,3,0,,,2,0,,,,,,
voortrekker,11,3,noun,Afrikaans  ,Middle Dutch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,1,3,0,2,1,2,0,,,,,,
menhaden,8,3,noun,Algonquian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,0,,,2,0,2,1,,,,,,
nocake,6,2,noun,Algonquian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,
opossum,7,2,noun,Algonquian,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,2,0,,,,,2,0,,,,,,,,
persimmon,9,3,noun,Algonquian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,
wejack,6,2,noun,Algonquian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,
calumet,7,3,noun,American French,French,Late Latin,,,,,,,4,0,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bamboche,8,2,noun,American French,French,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,,,,,,
beignet,7,2,noun,American French,French, Middle French  ,,,,,,,,,,,6,1,,,,,4,1,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,
lagniappe,9,2,noun,American French,American Spanish, Quechua,,,,,,,,,,,,,,,,,,,,,11,0,,,,,,,,,,,,,3,1,,,,,,,,,2,0,,
prairillon,10,3,noun,American French,,,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sioux,5,1,noun,American French,Ojibwa,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,
turbinado,9,4,noun,American Spanish,Spanish,French,,,,,,,7,1,,,,,,,,,,,,,5,0,,,,,,,,,,,,,2,1,,,,,,,,,2,0,,
cabasa,6,3,noun,American Spanish,Portuguese,Old Portuguese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0
cantina,7,3,noun,American Spanish,Spanish,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,
catalufa,8,4,noun,American Spanish,Spanish,Old Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,
churrasco,9,3,noun,American Spanish,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dengue,6,2,noun,American Spanish,,,,,,,,,,,,,,,6,0,,,,,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,
frijolillo,10,4,noun,American Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,
guayabera,9,3,noun,American Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,,,,,,,,,,,,,,,2,0
guayabi,7,3,noun,American Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,
guiro,5,2,noun,American Spanish,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,
jarana,6,3,noun,American Spanish,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
joropo,6,3,noun,American Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,
milonga,7,3,noun,American Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,
oregano,7,3,noun,American Spanish,Spanish,Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,
talaje,6,3,noun,American Spanish, Nahuatl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,
zonda,5,2,noun,American Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0
asado,5,2,noun,American Spanish ,Spanish,Latin,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,
cuerda,6,2,noun,American Spanish ,Spanish,Latin,,,,,,,,,,,1,0,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gateado,7,4,noun,American Spanish ,Spanish,Late Latin,,,,,,,,,,,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
empanada,8,4,noun,American Spanish  ,Spanish,Latin,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,
amole,5,2,noun,American Spanish  , Nahuatl,,,,,,,,,,,,,,,,,,6,0,,,,,,,,,,,4,0,,,,,,,,,,,,,,,,,,
barajillo,9,4,noun,American Spanish  ,Spanish,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boniato,7,4,noun,American Spanish  , Taino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,2,0,,
caliche,7,3,noun,American Spanish  ,Spanish,Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,,,,
cargador,8,3,noun,American Spanish  ,Spanish,,,,,,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catalineta,10,4,noun,American Spanish  ,Late Greek,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,
chiclero,8,3,noun,American Spanish  ,Spanish,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ciguatera,9,3,noun,American Spanish  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,,,,,,,,,,,,,,,,,,,
conjunto,8,3,noun,American Spanish  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,,,,,,,,,,,,,
cuchifrito,10,4,noun,American Spanish  ,Latin,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,
estanciero,10,4,noun,American Spanish  ,Spanish,Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,
habanero,8,4,noun,American Spanish  ,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
houvari,7,3,noun,American Spanish  ,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
incienso,8,4,noun,American Spanish  ,Spanish,Latin,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
jarabe,6,3,noun,American Spanish  ,Spanish,Arabic,,,,,,,,,,,1,1,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manzanita,9,4,noun,American Spanish  ,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marielito,9,5,noun,American Spanish  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,
mariposa,8,4,noun,American Spanish  ,Spanish,Late Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,
nutria,6,2,noun,American Spanish  ,Spanish,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,
picudo,6,3,noun,American Spanish  ,Spanish,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quebracho,9,3,noun,American Spanish  ,Spanish,,,,,,,,,,,,1,0,,,,,,,,,,,2,0,,,,,,,,,,,,,,,3,0,,,,,,,,
quiaquia,8,2,noun,American Spanish  ,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quila,5,2,noun,American Spanish  , Araucan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,
remuda,6,3,noun,American Spanish  ,Spanish,Latin,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ronquil,7,2,noun,American Spanish  ,,,,,,,,,,,,,,,,,,,,,1,0,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,
Santeria,8,3,noun,American Spanish  ,Spanish,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,2,0
zanja,5,2,noun,American Spanish  ,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,,,,,,,,,,,,
beisa,5,2,noun,Amharic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0
negus,5,2,noun,Amharic,Geez,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,,,,,,,,,,,,,,,,,,,
appurtenance,12,4,noun,Anglo-French,Old French,Late Latin,Latin,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contrariwise,12,3,adverb,Anglo-French,Latin,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0
chronicler,10,3,noun,Anglo-French,Old French,Latin,Greek,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conqueror,9,3,noun,Anglo-French,Old French,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disseverance,12,4,noun,Anglo-French,Old French,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
venue,5,2,noun,Anglo-French,Latin,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abeyance,8,2,noun,Anglo-French,Latin,,,,,,,,,,,,,,,,3,0,,,,,,,4,0,,,,,,,,,,,,,,,3,0,,,,,,,,
accomplice,10,3,noun,Anglo-French,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bursar,6,2,noun,Anglo-French,Medieval Latin,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
estoppel,8,3,noun,Anglo-French,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perjury,7,3,noun,Anglo-French,Latin,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,
vespers,7,2,lural in form but singular or plural in construction,Anglo-French,Medieval Latin,Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,
warison,7,3,noun,Anglo-French,,,,,,,,,,,,,,,,,,,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,5,1
waveson,7,2,noun,Anglo-French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,
inveigle,8,3,verb,Anglo-French  ,Medieval Latin,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenable,8,3,adjective,Anglo-French  ,Latin,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arable,6,3,adjective,Anglo-French  ,Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,
estrepement,11,3,noun,Anglo-French  ,Old French,,,,,,,,,,1,1,,,,,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flotsam,7,2,noun,Anglo-French  ,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,
paramount,9,3,adjective,Anglo-French  ,Latin,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuffet,6,2,noun,Anglo-French  ,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vicontiel,9,4,adjective,Anglo-French  ,Middle French,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,
waiver,6,2,noun,Anglo-French  ,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,
alim,4,2,noun,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,2,0,2,1,,,,,,
Berber,6,2,noun,Arabic,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coffle,6,2,noun,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,2,0,,,,,,
diffa,5,2,noun,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,3,1,,,,,,,,,,
foggara,7,3,noun,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,2,0,2,0,2,0,,,,,,
gazoz,5,2,noun,Arabic,Italian,New Latin,Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,,,,,,,,,,,,
hafiz,5,2,noun,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,3,1,2,0,2,0,2,0,2,0,2,0,,,,,,
halal,5,2,adjective,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,2,0,2,0,2,0,,,,,,
henna,5,2,noun,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,
khor,4,1,noun,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,3,0,2,0,,,,,,,,
mahal,5,2,noun,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,
mazar,5,2,noun,Arabic,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
mufti,5,2,noun,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,
tambourin,9,3,noun,Arabic,,,,,,,,,,,,,,,,,1,0,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
typhoon,7,2,noun,Arabic,Greek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,
zindiq,6,2,noun,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,0,,
Azrael,6,3,noun,Arabic ,Hebrew,,,,,,,,,,,,,,,,,,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
douar,5,2,noun,Arabic ,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,,,,,,,,,,,,,,,,,,,,,,
fennec,6,2,noun,Arabic ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,0,3,1,2,0,2,0,,,,,,
kemancha,8,3,noun,Arabic , Persian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,
mancala,7,3,noun,Arabic ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,,,,,,,,,,,,,,,
mihrab,6,2,noun,Arabic ,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,3,1,2,0,3,0,2,0,2,0,,,,,,
mukhtar,7,2,noun,Arabic ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,3,0,,,2,1,,,,,,
salaam,6,2,noun,Arabic ,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,,,,,,,,3,0,,,2,0,2,0,2,0,,,,,,
Sarsar,6,2,noun,Arabic ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,
serdab,6,2,noun,Arabic , Persian  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,3,0,3,0,3,0,2,0,2,0,,,,,,
tahini,6,3,noun,Arabic ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,0,2,0,2,0,,,2,0,,,,,,
kaddish,7,2,noun,Aramaic,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,
rabboni,7,3,noun,Aramaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,,,,,,,,
pilpul,6,2,noun,Aramaic and Hebrew,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,3,0,,,,,,,,,,,,,,,,
lavash,6,2,noun,Armenian,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shedu,5,2,noun,Assyro-Babylonian ,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,
goombay,7,2,noun,Bantu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,,,,,,,,,,,,,,,,
kalimba,7,3,noun,Bantu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,
nyala,5,3,noun,Bantu,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,
zortzico,8,3,noun,Basque  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,,,,,,,,,,,,
jute,4,1,noun,Bengali,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kathak,6,2,noun,Bengali,Sanskrit,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
talipot,7,3,noun,Bengali,Sanskrit,,,,,,,,,,,,,,,,,,7,0,,,,,,,,,,,,,6,0,,,,,,,,,,,,,,,2,0
berimbau,8,3,noun,Brazilian Portuguese,Portuguese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,
capoeira,8,4,noun,Brazilian Portuguese,Tupi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,,,,,,,,,,,2,0
carioca,7,4,noun,Brazilian Portuguese,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carnauba,8,3,noun,Brazilian Portuguese, Tupi,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,3,0,,,,,,,,,,,,,,,,
macumba,7,3,noun,Brazilian Portuguese,,,,,,,,,,,,,,,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
korrigan,8,3,noun,Breton ,,,,,,,,,,,,,,,,,,,,,1,1,,,,,2,0,,,,,,,,,,,,,,,,,,,,,14,0
lacrosse,8,2,noun,Canadian French,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,
babiche,7,2,noun,Canadian French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,
barbotte,8,2,noun,Canadian French,Modern Greek,Turkish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,
caribou,7,3,noun,Canadian French, Micmac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,
frazil,6,2,noun,Canadian French,French,Vulgar Latin,Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,
joual,5,2,noun,Canadian French ,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,
outarde,7,2,noun,Canadian French  ,French,Vulgar Latin,Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,4,0
parfleche,9,2,noun,Canadian French  ,French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,
pembina,7,3,noun,Canadian French  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,
toboggan,8,3,noun,Canadian French  ,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,2,0,,,,
tomalley,8,3,noun,Carib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
paella,6,3,noun,Catal  ,Middle French,Latin,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,
grego,5,2,noun,Catalan,Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,,,,,,,,,,,,,,,,,,,
cheongsam,9,2,noun,Chinese,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,12,0,,,,,,,,,,,,
oolong,6,2,noun,Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,
pekoe,5,2,noun,Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,3,1,,,,,,,,
pidan,5,2,noun,Chinese,,,,,,,,,,,,,1,1,,,,,1,0,,,,,,,,,,,,,,,,,,,4,0,,,,,,,,,,
pinyin,6,2,noun,Chinese,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pongee,6,2,noun,Chinese,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,4,0,,,,,,,,,,,,,,
renminbi,8,3,plural noun,Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,,,,,,,,,,,2,0
saimin,6,2,noun,Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,,,,,,,,,,,,,,,,,,,,
